'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0007f9c5-a0f0-438b-90bd-64709f3d7e4f', '4100_3', 60, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('cd7408e7-90a4-4e82-ba6a-606480fbb84b', '320d0751-a825-4f15-a1f2-69b327255c48', '2017-11-08 00:00:00', 'de94c165_b6c6_444e_9f47_834bf2e7c427');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('d6ccc8a5-3636-4a36-b320-04dcf4758340', '142b7490-13d5-4fff-9e7e-92930bc70232', '2017-11-08 00:00:00', '3143_clwa_3059');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('d7135a96-35e1-421e-bd1b-74f1071d7e06', '09fab2d8-b2db-4ba2-9a5b-3222905a6ec4', '2017-11-08 00:00:00', 'de94c165_b6c6_444e_9f47_834bf2e7c427');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('e708d2b7-4e70-4a61-8e58-42e6347ec858', '3ffac6ab-11d8-42d7-82f9-dbfc68efad2d', '2017-11-08 00:00:00', '3141_clwa_1500');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('f1d520a6-2227-41dd-8f52-e2678e88c9f5', 'a7d9f2bb-0486-4c5b-9c09-4ddd7e24a7df', '2017-11-08 00:00:00', '3145_clwa_5051');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('f204c274-a027-41ea-9260-7613e70dee4c', '8040ee13-0c63-4b6b-a9d1-ce1d6cfe2120', '2017-11-08 00:00:00', '3141_clwa_1500');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('f2e9174b-52ee-43c0-8e53-0463b06f4007', '545db014-7b14-44ff-884e-d8cfb90f87d1', '2017-11-08 00:00:00', 'da7428ac_4a97_46e1_a537_3e5828adc4e0');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('f4242e95-0d0f-4f07-a82f-6abfaca36b1d', 'c8e0c47b-1384-437d-afc0-88d79cb057b3', '2017-11-08 00:00:00', '3141_clwa_1100');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('f91dafd7-408b-42fd-a091-44901932530f', '8c6efcf1-e8e4-41b9-8ba4-f04c7b3ea653', '2017-11-08 00:00:00', 'da7428ac_4a97_46e1_a537_3e5828adc4e0');
'2017-11-0800:00:00',INSERT INTO wifiapobservation VALUES ('fe89526a-7f1a-482a-b715-5d947d2b75fb', '6fef5938-9e88-4dfa-af02-f53e647e59ad', '2017-11-08 00:00:00', '3141_clwa_1423');
'2017-11-0800:00:00',SELECT ci.INFRASTRUCTURE_ID FROM SENSOR sen, COVERAGE_INFRASTRUCTURE ci WHERE sen.id=ci.SENSOR_ID AND sen.id='78dd9081_14a5_41eb_8632_14e45a6b1e57';
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('00631c32-1573-483d-ba8c-077eb7d16855', '1431', 19, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('00f82d35-f5c5-4e12-868d-6091a6225542', '3042', 54, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0112f089-0a6b-49af-b298-2c49b8b86c9f', '4042', 99, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0241c2e5-2bab-4573-b6ce-509aa3f5ebe2', '3100_1', 19, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0277d526-95b7-4db3-8d75-1dbec1ef5dc2', '6029', 14, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('028c92ef-a4e8-413f-9145-842fa5f57982', '5086', 24, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('029b0aa9-2749-45d2-9a59-376345ad5fb2', '4100_2', 79, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('029b4c7f-5f83-4c1a-887e-c05a5251c3e4', '4209', 4, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('031310da-81b4-42d7-add7-c9855eb39c8a', '3011', 8, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('03497641-350c-47c7-8da9-de770aceb0db', '5042', 42, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('05c04ca0-1a21-4a5f-975c-952b154f3b79', '3081', 79, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('062252f2-8652-4101-a9b4-56eac02bf13d', '2048', 23, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0631d2ec-9223-4367-9fc5-3b76f66c40a4', '3206', 25, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0798357f-9640-40a5-bd44-b60804110294', '1200', 35, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('08296061-08fd-4763-a8ea-473c528dc28e', '2100_3', 13, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('08d1983a-6622-4c01-8a52-cd4b0423399c', '5226', 80, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('097acdd9-b374-4faf-8fa5-46bb0d2c94ab', '2241', 44, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('09d298ea-260d-4a16-92f2-568c1a14a10e', '5076', 15, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0a2d54bf-578f-4a14-bfa2-5bdc55605921', '4058', 77, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0a78b0a6-3382-41e1-b997-7de7aeb45ac7', '5228', 59, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0ad24c2f-a0d8-41d6-9b3e-fa7a2d77dfd4', '2039', 22, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0b435368-9489-4a0b-a51a-360a880bd490', '5004', 44, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0baa1240-f4a8-4416-a6ed-4598a328c4cf', '6082', 69, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0d35e020-ab25-4dc8-93db-7395ccfa64ee', '4243', 100, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('0e7df176-2b2c-46fc-9d77-aded0d398c60', '4039', 27, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('11320eb1-9c7f-46df-a115-8da33a4cd6ea', '3100_10', 33, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('11ed2381-abc9-4ae2-bf2d-5a8319887d01', '3241', 47, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('132845e6-ae52-48a8-8c76-73a080f370bd', '6019', 10, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('135f6b70-3ff0-4a13-b705-0e20268749f9', '5072', 73, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1397ab80-9016-4785-9ccb-9de188ec7805', '5032', 44, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('149f1f6c-fc8b-4d71-9470-526969d602c0', '3222', 47, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('15692ed5-6477-4419-89c8-16d268178c56', '2100_5', 17, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('16501b92-a636-4d90-8bb2-e72774169899', '5048', 24, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('16fe0cb4-f3af-429a-bda0-e2572c44c665', '2051', 66, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1b4c7094-535c-4f74-86fc-ff439e433d5f', '3029', 30, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1b882440-7096-4f8c-8033-6c1f0ce58768', '2054', 67, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1dd3ac86-81ce-4b90-9eff-d0a1c58ca389', '6064', 86, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1eb0b9ef-aa80-46d1-91df-59beec237d48', '2068', 100, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1eb247c2-6d1c-4662-8f5e-e86ee3dca0ea', '2206', 20, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1ed48a1c-bd99-47cc-b525-91744a446394', '6051', 6, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1f01c2c3-3b80-4787-81ce-5b731f724962', '2100_1', 65, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('1f55e40c-4ef7-4bbc-bbe7-d9ed906467ad', '2065', 99, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('20d596bc-b229-4e6e-bb13-a9e9bcef6ae5', '4100_1', 100, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('216c3a18-53a3-42ef-ad4a-9aec0ff1d5fa', '5092', 74, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('225619c2-532f-4b63-987f-2f8aed0aac53', '4206', 92, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2270c382-ae82-4ecf-b85d-3a2bf3c70374', '5100_2', 48, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('22dfe412-5e6c-44f7-80a1-77869d12e279', '3074', 89, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2348019f-3bca-4f93-bb42-acfb82c18a13', '2243', 64, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('23931a3c-edc1-4729-99b3-b24e40e11828', '3091', 42, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('23a0218f-e366-4e43-8b89-dc39ab397557', '6076', 88, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('23e51d70-232e-4d80-a5af-9cc5dea7cd0b', '2100_6', 8, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2418dc47-91b3-4698-a50f-f84fe8c459ad', '5088', 76, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('248d339d-e750-4a31-b1c8-28a253365a2c', '3100_4', 39, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2624b2db-15ff-487e-b258-e74a3551d439', '4069', 77, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('26ef14bf-6c47-4e72-a30c-61e455bfb517', '6074', 42, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('27297d0f-9334-44dc-8995-9035adb55811', '2038', 85, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('283f79b5-9d19-4086-be53-5b19a0d5836b', '4011', 87, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2c51c67f-4fae-450a-a876-7d1979ef70d1', '3069', 1, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2c58f289-d188-4a48-a1f2-b767b08d9ed8', '4081', 62, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2ca014f7-b3a9-4245-a921-0c57e66fec73', '5211', 7, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2dd3ffe3-9ca3-4446-9850-9f599a55a50a', '5091', 85, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2e1a672d-0f16-4d07-9a9e-e754375110d6', '4062', 75, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('2ebf6100-9ebe-4ee1-abac-a3121da3ac71', '4084', 57, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('32a2db9f-1c14-4ae2-9c83-c2834acf4988', '3051', 84, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('32f824cf-c72f-4080-9b5a-fa3e3d253be1', '4100_3', 94, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('330996b4-8ca0-4f0b-a78c-d62b94d45857', '1500', 97, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('330bf219-fbaf-418f-9797-d117f69ae1b6', '5008', 21, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('34187ef4-6370-4a65-acf2-50bd28eb92c2', '5028', 41, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3449b680-ad1f-4dd5-8770-c08d64a3cc9a', '3211', 37, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3463b074-4c10-4eb9-a310-8dce81b582b1', '2066', 26, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('35d93493-44c3-4c49-a29e-5aa3daafac3c', '6066', 87, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('36429fbe-24c4-4da4-bfe7-69e068dbb7ef', '4064', 90, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('375ea2da-96a5-45ce-a930-5820d9d12620', '3004', 98, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('37fc9652-384a-49da-bb70-cbbc9b589931', '6042', 93, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('38e9c0b3-9032-42e6-bb1d-cccebf08471c', '3084', 14, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('38f2b2ae-fe2a-4cfa-9456-dfeacb54fb6b', '6048', 98, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('394c4d7e-bc0b-41c4-933e-e50d4c8a3a46', '2089', 57, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('395b60ed-5ef5-4d36-b861-79529b6bd25f', '5216', 12, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3bf976f4-dcc2-42fc-adec-b556dfbfe922', '6210', 38, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3d08cb9f-78fb-4171-81bd-9ba5acd9ca05', '3228', 78, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3d1c1b10-c6ec-40a0-b966-6c833e0233de', '4204', 65, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3d4ba8a2-d779-48aa-b1b8-16af68e4dc4d', '3062', 69, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3dca3ee6-7da2-4e22-9dd0-a29786de03b2', '6052', 4, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('3eb2efe3-47a4-401b-9f5f-e30fe3b0f19a', '3064', 43, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('409102c7-b9b1-4488-b310-2982a9d447b5', '2228', 45, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('43adb954-6136-4455-bb00-a3486237ed19', '6084', 85, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4456f658-7076-43e4-82cd-7c77c1ffc04f', '2013', 98, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('463e44a4-43bc-424b-a464-d82bc8cdcbfc', '5058', 41, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('47d80c9d-f5b7-44c6-8dda-09c86ee8be2c', '1413', 19, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('47e0b9e1-f90e-4533-90d8-263a7a8d70ad', '2008', 2, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('481d7b4b-fd2d-4e8f-b53e-51299ba2125a', '3232', 59, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('48e9c542-1cba-4cb8-a87b-5f21a562ada3', '3088', 27, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4922322a-28e2-4297-afa5-b152d445ef01', '6034', 95, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4980b6eb-30f0-48f4-8e70-f0e1c84d9db6', '3013', 56, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4ad93b00-7c4f-400a-9702-7c4aa858728c', '2234', 83, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4dba49af-c559-49d8-a2fb-d15174e5b077', '2072', 42, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4e3f4b5b-74bf-45e8-a28d-10a1c74d5cbb', '4089', 63, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4edd2d23-4933-4ea6-9d7c-578b19d3428e', '4004', 51, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4ede3b39-2bcf-452f-b3a1-043bb9fbe8ea', '5100_4', 25, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4edecede-bd7a-40a3-86cc-e797c6aaf663', '3100_5', 95, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4f065c10-341d-4ba5-b670-f2b814d57ed6', '2204', 97, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('4f6e9454-42d2-4ed0-af27-5f9fef7019cf', '5013', 75, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('502b4ebc-d6df-4591-9ebd-74659e596963', '4092', 9, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5045e332-e73c-4a37-bc07-8c799bef72b9', '5019', 75, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('52ad98ca-bcdd-4757-a5d1-2a31ccd56afb', '4066', 81, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('52aed8e2-970c-48de-bd07-232a90440b45', '4044', 76, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('53aa36dd-b9a6-4c37-bd69-d4b4de62bd21', '4228', 59, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('53c3bec7-4d33-442a-a062-1bfc58d4bdb8', '6032', 100, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('542b9072-9f6f-4e1f-8ed3-bc4db0b34a1c', '4221', 83, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('55b949b1-0b8a-493a-80df-59968d2354f5', '2232', 35, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('561fe91a-38f0-408f-8400-8e91016dcd9b', '3224', 85, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('571b619e-17f5-47f2-ac14-24528c4b0640', '3204', 95, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('573f41b3-b925-464d-91bc-07c1810ecb7b', '5059', 18, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('579911ee-3ee1-402e-bee5-bee58160696d', '6026', 69, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('580cf79f-453c-4e52-9f93-0727d025704a', '3214', 81, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('58c2628e-0c24-4ae1-a9ab-a94c1e609123', '4008', 75, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('59ce2525-6e75-4225-816b-2c679086fb72', '6024', 94, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5a481ec9-2e59-4f96-a102-86a9dc23e226', '2044', 69, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5a5a42a5-e6bb-43e3-a6cc-0e21375f5314', '2231', 97, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5a77b3ac-b6a8-4bb3-9c55-fd3e90794eaa', '6056', 75, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5c0f27ed-7220-4a05-b3e3-e6795c32864a', '1434', 12, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5c820c63-7743-4a2b-bdd7-f22592a7469d', '4086', 51, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5c84d24b-1ff8-45ce-871c-4dd0e16ddc90', '3234', 64, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5cd24f25-d7bf-4f54-be4e-894514058db7', '4100_4', 50, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5cff5b85-ea1d-47fa-be3d-3111258368c3', '6092', 79, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5d384e00-acaa-4516-9784-939468aa6eb5', '2221', 16, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5f49625b-7786-4cc9-983d-59e13975ad82', '3068', 0, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5fe1f345-f8e8-4d73-a517-769ec4ed6651', '3100_8', 64, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('5fe9be34-cd61-4b8a-91ef-b23974d7b3b9', '4082', 96, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('60050b97-7377-4600-ae3a-b46c4cae52d9', '2074', 24, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('60424c02-60dc-4fae-9c74-a8ac9775c659', '6219', 56, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('6319bce5-40c6-423e-88ba-75ff5af4d6a9', '2092', 5, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('644aa081-60fc-4b69-b071-fd583e8afc06', '2211', 55, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('64d302fd-1b8e-4fa3-8f90-b435c15219ff', '3209', 27, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('657d7713-ea3b-491b-9586-c739d3ce5238', '3100_2', 82, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('659562d5-84ba-4077-b14e-f9440362d470', '4088', 63, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('66af67d8-4d85-4020-b048-3a928e339a76', '3100_3', 54, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('67b55c31-1057-4e3a-b3e3-32fe0bbe227b', '3008', 48, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('6893f679-5527-442e-825f-3a01d881775d', '3056', 75, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('68db857e-0447-4a29-b732-42b38eec0d7f', '5081', 81, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('695e7fae-d049-42fb-b224-6a4426403497', '4032', 71, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('69e7198c-dd2b-4c9a-8f31-caa19f36fb66', '3026', 10, '2017-11-08 00:03:00', 'vSensor2');
'2017-11-0800:03:00',INSERT INTO occupancy VALUES ('6a80e009-cfb0-493a-ad7c-dc24492d31f5', '4234', 39, '2017-11-08 00:03:00', 'vSensor2');
